setBits:4  tagBits:63c S 18f08c,1 miss 
setBits:5  tagBits:63c L 18f0a0,8 miss 
setBits:4  tagBits:63c L 18f084,4 hit 
setBits:4  tagBits:63c L 18f080,4 hit 
setBits:4  tagBits:43c L 10f080,4 miss  eviction 
setBits:4  tagBits:43c L 10f084,4 hit 
setBits:4  tagBits:43c L 10f088,4 hit 
setBits:4  tagBits:43c L 10f08c,4 hit 
setBits:4  tagBits:43c L 10f090,4 hit 
setBits:4  tagBits:43c L 10f094,4 hit 
setBits:4  tagBits:43c L 10f098,4 hit 
setBits:4  tagBits:43c L 10f09c,4 hit 
setBits:4  tagBits:53c S 14f080,4 miss  eviction 
setBits:c  tagBits:53c S 14f180,4 miss 
setBits:14  tagBits:53c S 14f280,4 miss 
setBits:1c  tagBits:53c S 14f380,4 miss 
setBits:4  tagBits:53c S 14f090,4 hit 
setBits:c  tagBits:53c S 14f190,4 hit 
setBits:14  tagBits:53c S 14f290,4 hit 
setBits:1c  tagBits:53c S 14f390,4 hit 
setBits:c  tagBits:43c L 10f180,4 miss  eviction 
setBits:c  tagBits:43c L 10f184,4 hit 
setBits:c  tagBits:43c L 10f188,4 hit 
setBits:c  tagBits:43c L 10f18c,4 hit 
setBits:c  tagBits:43c L 10f190,4 hit 
setBits:c  tagBits:43c L 10f194,4 hit 
setBits:c  tagBits:43c L 10f198,4 hit 
setBits:c  tagBits:43c L 10f19c,4 hit 
setBits:4  tagBits:53c S 14f084,4 hit 
setBits:c  tagBits:53c S 14f184,4 miss  eviction 
setBits:14  tagBits:53c S 14f284,4 hit 
setBits:1c  tagBits:53c S 14f384,4 hit 
setBits:4  tagBits:53c S 14f094,4 hit 
setBits:c  tagBits:53c S 14f194,4 hit 
setBits:14  tagBits:53c S 14f294,4 hit 
setBits:1c  tagBits:53c S 14f394,4 hit 
setBits:14  tagBits:43c L 10f280,4 miss  eviction 
setBits:14  tagBits:43c L 10f284,4 hit 
setBits:14  tagBits:43c L 10f288,4 hit 
setBits:14  tagBits:43c L 10f28c,4 hit 
setBits:14  tagBits:43c L 10f290,4 hit 
setBits:14  tagBits:43c L 10f294,4 hit 
setBits:14  tagBits:43c L 10f298,4 hit 
setBits:14  tagBits:43c L 10f29c,4 hit 
setBits:4  tagBits:53c S 14f088,4 hit 
setBits:c  tagBits:53c S 14f188,4 hit 
setBits:14  tagBits:53c S 14f288,4 miss  eviction 
setBits:1c  tagBits:53c S 14f388,4 hit 
setBits:4  tagBits:53c S 14f098,4 hit 
setBits:c  tagBits:53c S 14f198,4 hit 
setBits:14  tagBits:53c S 14f298,4 hit 
setBits:1c  tagBits:53c S 14f398,4 hit 
setBits:1c  tagBits:43c L 10f380,4 miss  eviction 
setBits:1c  tagBits:43c L 10f384,4 hit 
setBits:1c  tagBits:43c L 10f388,4 hit 
setBits:1c  tagBits:43c L 10f38c,4 hit 
